fecha,titulo,ranking_real,ranking_pred,V,prob_rank1
2013-01-05,Locked Out Of Heaven,1,1,0.006991,0.02
2013-01-05,Diamonds,2,2,0.006991,0.02
2013-01-05,Ho Hey,3,3,0.006991,0.02
2013-01-05,I Knew You Were Trouble.,4,4,0.006991,0.02
2013-01-05,Beauty And A Beat,5,5,0.006991,0.02
2013-01-05,Die Young,6,6,0.006991,0.02
2013-01-05,One More Night,7,7,0.006991,0.02
2013-01-05,I Cry,8,8,0.006991,0.02
2013-01-05,Home,9,9,0.006991,0.02
2013-01-05,Thrift Shop,10,10,0.006991,0.02
2013-01-05,Don't You Worry Child,11,11,0.006991,0.02
2013-01-05,Scream & Shout,12,12,0.006991,0.02
2013-01-05,Try,13,13,0.006991,0.02
2013-01-05,Some Nights,14,14,0.006991,0.02
2013-01-05,Let Me Love You (Until You Learn To Love Yourself),15,15,0.006991,0.02
2013-01-05,Girl On Fire,16,16,0.006991,0.02
2013-01-05,The A Team,17,17,0.006991,0.02
2013-01-05,It's Time,18,18,0.006991,0.02
2013-01-05,Gangnam Style,19,19,0.006991,0.02
2013-01-05,Swimming Pools (Drank),20,20,0.006991,0.02
2013-01-05,All I Want For Christmas Is You,21,21,0.006991,0.02
2013-01-05,Cruise,22,22,0.006991,0.02
2013-01-05,Clique,23,23,0.006991,0.02
2013-01-05,F**kin Problems,24,24,0.006991,0.02
2013-01-05,Adorn,25,25,0.006991,0.02
2013-01-05,Sweet Nothing,26,26,0.006991,0.02
2013-01-05,Don't Stop The Party,27,27,0.006991,0.02
2013-01-05,Too Close,28,28,0.006991,0.02
2013-01-05,We Are Never Ever Getting Back Together,29,29,0.006991,0.02
2013-01-05,Catch My Breath,30,30,0.006991,0.02
2013-01-05,Va Va Voom,31,31,0.006991,0.02
2013-01-05,Little Talks,32,32,0.006991,0.02
2013-01-05,I'm Different,33,33,0.006991,0.02
2013-01-05,No Worries,34,34,0.006991,0.02
2013-01-05,As Long As You Love Me,35,35,0.006991,0.02
2013-01-05,Wanted,36,36,0.006991,0.02
2013-01-05,Hall Of Fame,37,37,0.006991,0.02
2013-01-05,Bandz A Make Her Dance,38,38,0.006991,0.02
2013-01-05,I Will Wait,39,39,0.006991,0.02
2013-01-05,Thinkin Bout You,40,40,0.006991,0.02
2013-01-05,Little Things,41,41,0.006991,0.02
2013-01-05,Don't Wake Me Up,42,42,0.006991,0.02
2013-01-05,Call Me Maybe,43,43,0.006991,0.02
2013-01-05,Better Dig Two,44,44,0.006991,0.02
2013-01-05,Lights,45,45,0.006991,0.02
2013-01-05,Daylight,46,46,0.006991,0.02
2013-01-05,Blow Me (One Last Kiss),47,47,0.006991,0.02
2013-01-05,Anything Could Happen,48,48,0.006991,0.02
2013-01-05,Somebody That I Used To Know,49,49,0.006991,0.02
2013-01-05,Every Storm (Runs Out Of Rain),50,50,0.006991,0.02
2013-01-12,Locked Out Of Heaven,1,30,0.013522,0.019996
2013-01-12,I Knew You Were Trouble.,2,32,0.013522,0.019996
2013-01-12,Diamonds,3,31,0.013522,0.019996
2013-01-12,Ho Hey,4,21,0.013522,0.019996
2013-01-12,Beauty And A Beat,5,2,0.014079,0.020007
2013-01-12,Gangnam Style,6,22,0.013522,0.019996
2013-01-12,Die Young,7,23,0.013522,0.019996
2013-01-12,One More Night,8,29,0.013522,0.019996
2013-01-12,Home,9,19,0.013522,0.019996
2013-01-12,Thrift Shop,10,8,0.014079,0.020007
2013-01-12,I Cry,11,28,0.013522,0.019996
2013-01-12,Scream & Shout,12,3,0.014079,0.020007
2013-01-12,Some Nights,13,20,0.013522,0.019996
2013-01-12,Girl On Fire,14,5,0.014079,0.020007
2013-01-12,Don't You Worry Child,15,4,0.014079,0.020007
2013-01-12,The A Team,16,18,0.013522,0.019996
2013-01-12,We Are Never Ever Getting Back Together,17,24,0.013522,0.019996
2013-01-12,Try,18,27,0.013522,0.019996
2013-01-12,Cruise,19,7,0.014079,0.020007
2013-01-12,Swimming Pools (Drank),20,37,0.013522,0.019996
2013-01-12,It's Time,21,25,0.013522,0.019996
2013-01-12,Let Me Love You (Until You Learn To Love Yourself),22,26,0.013522,0.019996
2013-01-12,Clique,23,1,0.014081,0.020007
2013-01-12,As Long As You Love Me,24,6,0.014079,0.020007
2013-01-12,Wanted,25,35,0.013522,0.019996
2013-01-12,F**kin Problems,26,9,0.014079,0.020007
2013-01-12,Call Me Maybe,27,36,0.013522,0.019996
2013-01-12,Hall Of Fame,28,10,0.014079,0.020007
2013-01-12,No Worries,29,12,0.014079,0.020007
2013-01-12,I'm Different,30,34,0.013522,0.019996
2013-01-12,Don't Stop The Party,31,11,0.014079,0.020007
2013-01-12,Va Va Voom,32,33,0.013522,0.019996
2013-01-12,Little Things,33,40,0.013522,0.019996
2013-01-12,Too Close,34,38,0.013522,0.019996
2013-01-12,Bandz A Make Her Dance,35,16,0.014079,0.020007
2013-01-12,Catch My Breath,36,39,0.013522,0.019996
2013-01-12,Don't Wake Me Up,37,42,0.013522,0.019996
2013-01-12,Little Talks,38,15,0.014079,0.020007
2013-01-12,Better Dig Two,39,41,0.013522,0.019996
2013-01-12,Sweet Nothing,40,14,0.014079,0.020007
2013-01-12,Every Storm (Runs Out Of Rain),41,43,0.013522,0.019996
2013-01-12,Daylight,42,44,0.013522,0.019996
2013-01-12,Live While We're Young,43,46,0.013522,0.019996
2013-01-12,Adorn,44,45,0.013522,0.019996
2013-01-12,Thinkin Bout You,45,47,0.013522,0.019996
2013-01-12,I Will Wait,46,17,0.014079,0.020007
2013-01-12,Blow Me (One Last Kiss),47,48,0.013522,0.019996
2013-01-12,Somebody That I Used To Know,48,13,0.014079,0.020007
2013-01-12,Ready Or Not,49,49,0.013522,0.019996
2013-01-12,Lights,50,50,0.013522,0.019996
2013-01-19,Locked Out Of Heaven,1,32,0.021636,0.019986
2013-01-19,Diamonds,2,23,0.021636,0.019986
2013-01-19,I Knew You Were Trouble.,3,30,0.021636,0.019986
2013-01-19,Ho Hey,4,31,0.021636,0.019986
2013-01-19,Thrift Shop,5,3,0.023641,0.020026
2013-01-19,Home,6,29,0.021636,0.019986
2013-01-19,Beauty And A Beat,7,2,0.023641,0.020026
2013-01-19,Scream & Shout,8,4,0.023641,0.020026
2013-01-19,One More Night,9,21,0.021636,0.019986
2013-01-19,I Cry,10,22,0.021636,0.019986
2013-01-19,Don't You Worry Child,11,8,0.023641,0.020026
2013-01-19,Die Young,12,28,0.021636,0.019986
2013-01-19,Girl On Fire,13,5,0.023641,0.020026
2013-01-19,Gangnam Style,14,19,0.021636,0.019986
2013-01-19,Some Nights,15,20,0.021636,0.019986
2013-01-19,Try,16,18,0.021636,0.019986
2013-01-19,Don't Stop The Party,17,7,0.023641,0.020026
2013-01-19,The A Team,18,26,0.021636,0.019986
2013-01-19,It's Time,19,27,0.021636,0.019986
2013-01-19,Swimming Pools (Drank),20,24,0.021636,0.019986
2013-01-19,Let Me Love You (Until You Learn To Love Yourself),21,25,0.021636,0.019986
2013-01-19,F**kin Problems,22,10,0.023641,0.020026
2013-01-19,Cruise,23,6,0.023641,0.020026
2013-01-19,Sweet Nothing,24,9,0.023641,0.020026
2013-01-19,We Are Never Ever Getting Back Together,25,37,0.021636,0.019986
2013-01-19,Clique,26,1,0.023658,0.020027
2013-01-19,Little Talks,27,12,0.023641,0.020026
2013-01-19,Too Close,28,36,0.021636,0.019986
2013-01-19,Call Me Maybe,29,35,0.021636,0.019986
2013-01-19,Catch My Breath,30,34,0.021636,0.019986
2013-01-19,Wanted,31,33,0.021636,0.019986
2013-01-19,Hall Of Fame,32,11,0.023641,0.020026
2013-01-19,I'm Different,33,40,0.021636,0.019986
2013-01-19,Daylight,34,38,0.021636,0.019986
2013-01-19,I Will Wait,35,16,0.023641,0.020026
2013-01-19,Adorn,36,39,0.021636,0.019986
2013-01-19,Little Things,37,42,0.021636,0.019986
2013-01-19,No Worries,38,15,0.023641,0.020026
2013-01-19,As Long As You Love Me,39,14,0.023641,0.020026
2013-01-19,Better Dig Two,40,41,0.021636,0.019986
2013-01-19,Bandz A Make Her Dance,41,13,0.023641,0.020026
2013-01-19,Va Va Voom,42,43,0.021636,0.019986
2013-01-19,Somebody That I Used To Know,43,17,0.023641,0.020026
2013-01-19,Every Storm (Runs Out Of Rain),44,44,0.021636,0.019986
2013-01-19,Lights,45,45,0.021636,0.019986
2013-01-19,Thinkin Bout You,46,46,0.021636,0.019986
2013-01-19,Blow Me (One Last Kiss),47,47,0.021636,0.019986
2013-01-19,Don't Wake Me Up,48,48,0.021636,0.019986
2013-01-19,Radioactive,49,49,0.021636,0.019986
2013-01-19,Goodbye In Her Eyes,50,50,0.021636,0.019986
2013-01-26,Locked Out Of Heaven,1,31,0.032838,0.019975
2013-01-26,Thrift Shop,2,2,0.037983,0.020078
2013-01-26,Ho Hey,3,32,0.032838,0.019975
2013-01-26,I Knew You Were Trouble.,4,30,0.032838,0.019975
2013-01-26,Diamonds,5,24,0.032838,0.019975
2013-01-26,Scream & Shout,6,8,0.037983,0.020078
2013-01-26,Don't You Worry Child,7,3,0.037983,0.020078
2013-01-26,Beauty And A Beat,8,4,0.037983,0.020078
2013-01-26,Home,9,23,0.032838,0.019975
2013-01-26,I Cry,10,29,0.032838,0.019975
2013-01-26,One More Night,11,22,0.032838,0.019975
2013-01-26,Try,12,20,0.032838,0.019975
2013-01-26,Girl On Fire,13,5,0.037983,0.020078
2013-01-26,Some Nights,14,19,0.032838,0.019975
2013-01-26,It's Time,15,18,0.032838,0.019975
2013-01-26,Die Young,16,21,0.032838,0.019975
2013-01-26,Don't Stop The Party,17,7,0.037983,0.020078
2013-01-26,F**kin Problems,18,13,0.037983,0.020078
2013-01-26,The A Team,19,36,0.032838,0.019975
2013-01-26,Sweet Nothing,20,6,0.037983,0.020078
2013-01-26,Swimming Pools (Drank),21,28,0.032838,0.019975
2013-01-26,Gangnam Style,22,27,0.032838,0.019975
2013-01-26,Catch My Breath,23,26,0.032838,0.019975
2013-01-26,Let Me Love You (Until You Learn To Love Yourself),24,25,0.032838,0.019975
2013-01-26,Daylight,25,35,0.032838,0.019975
2013-01-26,Hall Of Fame,26,10,0.037983,0.020078
2013-01-26,Little Talks,27,12,0.037983,0.020078
2013-01-26,I'm Different,28,34,0.032838,0.019975
2013-01-26,Clique,29,1,0.038049,0.020079
2013-01-26,Cruise,30,11,0.037983,0.020078
2013-01-26,Wanted,31,33,0.032838,0.019975
2013-01-26,I Will Wait,32,9,0.037983,0.020078
2013-01-26,Better Dig Two,33,38,0.032838,0.019975
2013-01-26,Adorn,34,40,0.032838,0.019975
2013-01-26,Every Storm (Runs Out Of Rain),35,39,0.032838,0.019975
2013-01-26,Little Things,36,37,0.032838,0.019975
2013-01-26,Too Close,37,43,0.032838,0.019975
2013-01-26,No Worries,38,16,0.037983,0.020078
2013-01-26,We Are Never Ever Getting Back Together,39,42,0.032838,0.019975
2013-01-26,Call Me Maybe,40,41,0.032838,0.019975
2013-01-26,Radioactive,41,44,0.032838,0.019975
2013-01-26,Somebody That I Used To Know,42,17,0.037983,0.020078
2013-01-26,Bandz A Make Her Dance,43,14,0.037983,0.020078
2013-01-26,Sure Be Cool If You Did,44,50,0.006991,0.019465
2013-01-26,Thinkin Bout You,45,46,0.032838,0.019975
2013-01-26,The Only Way I Know,46,15,0.037983,0.020078
2013-01-26,How Country Feels,47,45,0.032838,0.019975
2013-01-26,C'mon,48,47,0.032838,0.019975
2013-01-26,Lights,49,48,0.032838,0.019975
2013-01-26,Va Va Voom,50,49,0.032838,0.019975
2013-02-02,Thrift Shop,1,2,0.060001,0.020164
2013-02-02,Locked Out Of Heaven,2,32,0.048662,0.019936
2013-02-02,Ho Hey,3,28,0.048662,0.019936
2013-02-02,Suit & Tie,4,50,0.014079,0.019259
2013-02-02,I Knew You Were Trouble.,5,31,0.048662,0.019936
2013-02-02,Scream & Shout,6,4,0.060001,0.020164
2013-02-02,Don't You Worry Child,7,3,0.060001,0.020164
2013-02-02,Diamonds,8,30,0.048662,0.019936
